profile_id,estimation_version,n_designs,reestimation_successful,beta_satellite.mean,beta_satellite.median,beta_satellite.std,m0.mean,m0.median,m0.std,m1.mean,m1.median,m1.std,mu.mean,mu.median,mu.std
971959fa-4bb5-41c3-86a8-9cc449698752,reestimation_v1,10,1,0.5378216940812137,0.5257654839584838,1.466184893308279,-2.321102738056785,-2.308583986719608,2.3481016967960606,-3.3136111910144272,-2.7812113870806727,2.7707573944358455,1.1700900336126614,1.1697561897797808,0.2714003614457424
ae919acd-c5da-4263-a784-e77c884a2876,reestimation_v1,10,1,2.3368829069357155,2.3146758638785836,1.6690809663266681,15.638303975289935,15.62492401499793,2.4712277902372857,-3.8761746367366663,-3.5908871061457575,3.2754276287480066,1.2296329389428384,1.271518641443734,0.28119495558547897
792633ca-3c93-4b60-9eda-a1ad0f713c2f,reestimation_v1,10,1,0.013396750033252965,0.22866365454358872,1.298991668323765,3.3715159645838613,3.4638639177117088,1.6635499585241096,-0.2535792591486243,-0.33250984957819574,1.6940413517520998,1.071097169212917,1.0299074654144755,0.2809909594040862
5e72b17f-e477-419d-9aa5-9abaed4aee38,reestimation_v1,10,1,0.9070837130579752,0.959460011115373,1.314088485534222,-3.3096937254792866,-3.301709866400792,1.7353838276034592,-6.398313064019543,-6.17385334452377,2.8461778667426474,1.1399857401919196,1.1257259354358877,0.28414327611881013
d36591a9-11e7-4927-aa2e-66ba29a4ed3d,reestimation_v1,6,0,,,,,,,,,,,,
a019510b-6a0b-4008-a4c3-65cc10b9df47,reestimation_v1,10,1,0.7761740628441361,0.7722577466244638,1.5991270076572752,-0.3331621413423864,-0.5083960611912346,2.3206386245578763,-5.486950358020711,-5.28290583471102,2.993137366410788,0.8276679110486505,0.7792968275950791,0.16355125993039332
fd9a14f2-6bf4-4d70-bc4c-ec26af974f49,reestimation_v1,10,1,-0.3964948997506189,-0.4934835642967076,1.2407985462944826,3.566002114491695,3.7280942614657526,1.3254643719475259,-3.1119072063780484,-2.976109511955978,2.05790431969591,1.100674648568254,1.0695358402271697,0.2786903238828429
5c796d04-e262-4881-bd20-a33c10432e92,reestimation_v1,10,1,0.9081205235038228,0.7754250459473153,1.4861709017593205,5.75439962427779,5.934408778752344,1.9658988629401177,0.8848776601622956,0.8193802634211633,2.1178080438568205,0.8354926974885497,0.7867129121911004,0.16878541728502966
96fb75aa-dd40-4985-9008-10809f00cde9,reestimation_v1,10,1,0.5725467373981725,0.46922152981606,1.421457571959635,-1.4618290506063354,-1.3001110425644207,1.823855241280253,-0.9856341929932343,-1.0399260516425515,1.8959255244322255,1.1924854981765767,1.2326520189865966,0.27872816757357116
a9d17cd4-2b5e-444f-befe-6b6a36a16f3d,reestimation_v1,10,0,,,,,,,,,,,,
80fa11cf-8e8d-4c98-81fd-b70599d782d0,reestimation_v1,10,1,0.675119864817838,0.6783780279453477,1.4574800552343776,6.3748459539765685,6.631317605965894,2.0432601983483947,-4.035013502795076,-4.150341784992125,1.86147973879818,0.8101498858109191,0.7761732946924977,0.1582819832537108
f5cfa35f-8d45-4bbf-8ef1-f9cb71cfa55a,reestimation_v1,10,1,-0.17526725764191226,-0.07079865086254822,1.3121112386561977,2.462888672916442,2.6578434387230336,1.9975689298171755,-7.1741341234149845,-7.159535706892115,3.31035777058122,1.1404125341580769,1.1236173990650422,0.29230636598325865
a814854a-5955-4f9d-9d10-c54374f37831,reestimation_v1,10,1,0.32777671097435024,0.2565353353085105,1.0769402056139572,1.844958774569868,1.7418796723041974,1.6637634145906481,-0.3061291296797629,-0.4122572940577667,2.059304608589084,0.9857278888409544,0.9170338817841908,0.26426335267818296
baa3c0ef-e354-4270-8c9d-6b2a551e3ccf,reestimation_v1,10,1,0.15955636766280623,0.043712174242598545,1.3221897287705642,7.478128317980485,7.689641180191664,1.6391443460885045,-1.938789737640154,-1.7160554736984892,1.7649589382741122,1.0103839053501598,0.9641493559621215,0.2645645696694341
aa1bb50a-e6e6-4ca9-aa0c-9bf426da0aba,reestimation_v1,10,1,0.16541594174131877,0.19873257420079016,1.299527601271988,9.69112487826867,9.786191685045479,1.5408765634237904,-4.442468881842134,-4.17467215869642,2.851750742859852,1.1471107147279418,1.1371196685530798,0.28377803587328354
b34fbf72-940f-4826-8899-364d884bd056,reestimation_v1,10,1,-0.7901072741703783,-0.8199389136064796,1.2136389521698268,2.299623109156594,2.143919882075551,1.435484716521632,1.538630862999826,1.4396988239721509,2.003113169696629,1.1328690686143137,1.1139255792171456,0.29114613567844033
733059e7-304d-4dcb-8802-8095bb7f412a,reestimation_v1,1,0,,,,,,,,,,,,
7c2964c3-c7a6-4f71-b26e-a79c852d63ff,reestimation_v1,5,1,-1.4573720652750122,-1.472258573851402,1.5857584727737544,-0.0649410988724814,0.02999879526262106,3.3033852117340485,2.727330737655385,2.6329310678662,4.741528756124258,0.8512555003528854,0.7861761975176391,0.19317614919383091
3cd6ee44-f8b9-406a-b014-eab812bade78,reestimation_v1,10,1,-0.3471958925004989,-0.3221974117523416,1.3508724110188481,5.073809122479937,4.875173070173579,1.770218458289923,-7.104330958148709,-7.120232469179799,2.9247028731522797,0.992649265768524,0.933788949007189,0.26243515924179556
df05c58b-85ad-49ac-8ec9-2bc71bc909a6,reestimation_v1,10,1,0.45943305780900373,0.3249526569645105,1.426361845480469,3.127027063142925,3.2651459163144674,1.8020838185057635,-1.4696116590975006,-1.251168066619716,1.8577227820845807,0.9416757875533638,0.8562200566659866,0.2556789916023675
808560ea-1bde-4158-8214-aa5481daf7c0,reestimation_v1,10,1,3.548926316021297,3.7180128190680315,1.6861142332223094,5.798066829040462,5.3550108106873955,2.473968734593881,-9.278462080214137,-9.889915674970055,3.312640256667247,0.9678946561271636,0.8624842924621207,0.2693897818771924
01128555-829a-430f-af62-238aa8f89958,reestimation_v1,10,1,1.712797110874976,1.5656224452693723,1.303990049038249,7.1625400716923044,7.387158086485873,1.6932860676185402,-4.6902699683598765,-4.693446059696251,2.886906784184382,1.126821083731125,1.1156132366431004,0.2720209395613473
ec882ba6-b959-4606-b6cd-c2033a9ba515,reestimation_v1,10,1,-1.3037052414532984,-1.2498521147575223,1.6410688854764008,0.4710471905815691,0.49903935085953444,2.1194305976639973,-4.321352526358711,-4.280341450985416,3.0371062589558835,0.9370791794541375,0.8860668266899122,0.22446175664011286
b94bdf55-0d11-4af5-9b8a-99257d43691e,reestimation_v1,11,1,4.631158064970048,4.524902993333423,1.4859230576193654,4.4944353503705425,4.561428098814498,1.7832444715944746,-5.05747518905222,-4.424504332856092,3.1296111923298273,1.054463007737911,1.0185831980456015,0.2789699822486
baef0664-efba-4879-b40a-ddb109951ae7,reestimation_v1,10,1,-0.003724954333318388,0.04937089412445367,1.4361287829874658,10.057836890567978,10.343210461286171,2.041342123859197,-3.517480623693349,-3.1216929408776686,2.6848552078247603,1.021278028475078,0.9710642311921669,0.2801840954071136
29583f3b-28af-4e65-883c-acfd3f0e6fbc,reestimation_v1,7,0,,,,,,,,,,,,
